"","title","point","review"
"210","클래식","10","클래식최애영화 10번을 봐도 질리지 않음 영상미 음악 시나리오 배우들 다 맘에 든다 이 새벽 또 생각나네 올레에 없어져서 아쉬움 "
"211","쥬라기 월드: 폴른 킹덤","8","쥬라기 월드: 폴른 킹덤재밌었는데 영화관에 아이들이 너무 많아서 조금 시끄러웠어요 "
"212","히달고","10","히달고의외로 말 눈빛에서 모든게 다 나온다.ㅋㅋㅋ 말 귀여움.ㅋ "
"213","박열","10","박열바로 밑에 댓글 뭐라고 씨부리냐ㅋㅋ깽판? 일제시대에 태어났으면 친일파 앞잡이 매국노 됐을 X. "
"214","오션스8","6","오션스8광명롯시] 개성다른 패거리가 계획 100% 맞아 떨어지는 도둑질 한번으로 인생피는 너무 낡은 컨셉의 영화! 멀건 사골 느낌 영화라 신선함도 긴장감도 대리만족도 없었다. 또, 산드라 블록은 머리카락 길이만 다른 듯 마이클 잭슨이랑 너무 닮아서 신기했다. "
"215","오션스8","10","오션스8저는 캐스팅만으로도 눈호강ㅠ여자분들이 특히 좋아할만한 영화이것 같아요배우들 캐릭터나 의상만 봐도 눈호강이엇어요특히 캐이트ㅠ 의상땜에 다시보러갈 삘ㅋㅋ스토리나 긴장감잇는 전개를 너무 기대하시면 실망하실수 잇어용 주의요망ㅋ "
"216","시카리오: 암살자의 도시","9","시카리오: 암살자의 도시여자 발암이라서 1점 깎음 "
"217","레드 스패로","6","레드 스패로허술하긴한데 볼만함. "
"218","그날, 바다","1","그날, 바다믿고 싶은것만 믿는 감성이 뇌를 지배하신 분들의 영화ㅋㅋ "
"219","마징가 Z: 인피니티","9","마징가 Z: 인피니티그 시절의 향수를 깨지 않으면서도 적당히 화려해지고 적당히 세련되어졌다. 전투씬액션 풍부하고 전 인류가 하나되는 뭉클하고 장엄한 전쟁. "
"220","정글","8","정글실화 라는점 에서 게임끝 "
"221","오션스8","5","오션스8예고편을 110분으로 늘린 느낌 "
